RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31
394900,312,"Napa, CA",msa,CA,686522.0,669979.0,660194.0,647681.0,673506.0,675091.0,663586.0,642347.0,643865.0,661883.0,668456.0,660572.0,647699.0,664074.0,687239.0,679885.0,665887.0,664268.0,675919.0,687908.0,683919.0,666848.0,645126.0,651208.0,717294.0,766348.0,766234.0,746341.0,743684.0,749258.0,752255.0,759491.0,803028.0,818171.0,808872.0,789662.0,794355.0,800457.0,807756.0,797628.0,796338.0,794660.0,833770.0,857458.0,894049.0,877388.0,890709.0,882690.0,919715.0,903646.0,912835.0,882108.0,864161.0,833960.0,825316.0,840526.0,836727.0,822433.0,809212.0,817303.0
395013,313,"Rapid City, SD",msa,SD,219326.0,215934.0,212452.0,214828.0,218143.0,220282.0,216851.0,221331.0,223424.0,228289.0,225659.0,226169.0,227189.0,227422.0,229148.0,233362.0,237779.0,236136.0,232536.0,232261.0,234273.0,235280.0,238254.0,239664.0,244624.0,249560.0,261674.0,266450.0,270154.0,264654.0,264495.0,260166.0,268144.0,275425.0,287923.0,287348.0,292984.0,296558.0,301754.0,301558.0,309564.0,315538.0,321671.0,326695.0,336405.0,339576.0,339358.0,334224.0,336565.0,331139.0,336867.0,335066.0,336665.0,334519.0,338831.0,330419.0,334497.0,332903.0,345549.0,338014.0
395139,314,"Sumter, SC",msa,SC,131393.0,136903.0,146127.0,153179.0,154439.0,146653.0,147401.0,143071.0,146347.0,141063.0,141399.0,141988.0,145685.0,148368.0,149067.0,153445.0,153498.0,154934.0,155751.0,152329.0,155866.0,155695.0,161092.0,155952.0,159872.0,158557.0,164426.0,162756.0,169114.0,171558.0,173420.0,174056.0,173265.0,174253.0,177684.0,181904.0,184050.0,184863.0,188309.0,192576.0,190613.0,188637.0,190445.0,190869.0,193704.0,198951.0,204955.0,199548.0,196663.0,195035.0,195559.0,197118.0,192578.0,196629.0,197640.0,207171.0,209538.0,204177.0,199381.0,211689.0
394577,315,"Eureka, CA",msa,CA,303609.0,303725.0,309702.0,301464.0,296392.0,302064.0,308195.0,314962.0,308073.0,309519.0,314397.0,319304.0,319069.0,317287.0,314488.0,314949.0,311777.0,308666.0,314706.0,317152.0,321625.0,316574.0,308248.0,315217.0,319017.0,332935.0,337222.0,344136.0,348793.0,350602.0,358409.0,355632.0,363881.0,369149.0,383560.0,388648.0,385651.0,390403.0,392780.0,404366.0,412187.0,416444.0,420567.0,421184.0,427376.0,438517.0,439474.0,448876.0,449647.0,446660.0,433254.0,426120.0,420942.0,413339.0,398519.0,414028.0,416115.0,425917.0,422538.0,437334.0
395117,316,"Springfield, OH",msa,OH,108460.0,109418.0,108975.0,116268.0,118196.0,117217.0,111479.0,111256.0,113990.0,119107.0,120247.0,121861.0,121779.0,122365.0,124047.0,122575.0,124308.0,125687.0,125248.0,121468.0,115712.0,119978.0,122447.0,124603.0,122623.0,126386.0,130674.0,136062.0,134762.0,136331.0,132781.0,134335.0,130852.0,132409.0,131502.0,134971.0,139945.0,144178.0,145236.0,144840.0,145989.0,148292.0,147725.0,143159.0,142235.0,144523.0,157860.0,160560.0,160113.0,151187.0,149622.0,149356.0,153411.0,150027.0,154167.0,154986.0,163187.0,158485.0,158697.0,158521.0
394668,317,"Harrisonburg, VA",msa,VA,199917.0,195858.0,203440.0,195185.0,193020.0,192151.0,201147.0,204958.0,211944.0,216029.0,218062.0,215860.0,212139.0,213115.0,222391.0,228341.0,233924.0,224742.0,214883.0,219936.0,228523.0,243740.0,239067.0,238049.0,235569.0,233265.0,238657.0,243196.0,253516.0,247653.0,245288.0,238327.0,244769.0,238336.0,246638.0,244828.0,262051.0,260103.0,262025.0,257171.0,262774.0,260572.0,257541.0,258272.0,283599.0,292588.0,290972.0,272695.0,271736.0,282804.0,293701.0,287007.0,278718.0,278459.0,291909.0,287107.0,292375.0,290418.0,310642.0,309335.0
394368,318,"Battle Creek, MI",msa,MI,112990.0,114434.0,115049.0,117975.0,120525.0,115788.0,119661.0,118628.0,127409.0,126181.0,128338.0,125165.0,125313.0,123796.0,130199.0,126863.0,129237.0,121099.0,123691.0,128519.0,133660.0,129845.0,124105.0,123015.0,127860.0,129452.0,135699.0,138979.0,146268.0,141633.0,140105.0,138053.0,140258.0,143715.0,142476.0,145916.0,151110.0,155852.0,159449.0,157479.0,156169.0,153669.0,152507.0,151779.0,153437.0,158300.0,162855.0,164772.0,160183.0,162325.0,155135.0,150583.0,149497.0,154181.0,158911.0,152440.0,159336.0,160390.0,165195.0,162481.0
395094,319,"Sherman, TX",msa,TX,175472.0,178214.0,175777.0,181959.0,175174.0,181785.0,174788.0,180277.0,179181.0,180554.0,183246.0,189062.0,192219.0,191506.0,183344.0,180969.0,179946.0,182312.0,179959.0,177579.0,177830.0,177628.0,176885.0,183675.0,191928.0,199947.0,202406.0,207637.0,212501.0,213296.0,227195.0,238482.0,247619.0,245356.0,240605.0,241251.0,243732.0,244079.0,250951.0,254007.0,261724.0,266979.0,272474.0,279957.0,285137.0,291748.0,286036.0,275209.0,268690.0,271837.0,277983.0,273014.0,264942.0,255786.0,258066.0,258540.0,273452.0,277947.0,290239.0,290166.0
394442,321,"Carbondale, IL",msa,IL,111348.0,107046.0,101955.0,108987.0,116322.0,139021.0,142349.0,135845.0,113982.0,110246.0,116561.0,126973.0,134137.0,130426.0,136138.0,136506.0,141809.0,137620.0,126002.0,131441.0,125196.0,126791.0,105711.0,113762.0,126766.0,146644.0,147814.0,138195.0,136917.0,133820.0,130420.0,121700.0,112342.0,107775.0,109622.0,111553.0,122912.0,121241.0,121192.0,121551.0,121436.0,126331.0,118841.0,120393.0,118128.0,121903.0,116205.0,120927.0,120230.0,125518.0,115341.0,113601.0,109460.0,115464.0,111348.0,115991.0,120989.0,124844.0,127362.0,124266.0
394728,323,"Jonesboro, AR",msa,AR,146913.0,143276.0,143020.0,143188.0,144643.0,140707.0,141328.0,143247.0,148608.0,152580.0,152505.0,153549.0,153687.0,156532.0,155125.0,151825.0,150189.0,151817.0,156166.0,154461.0,157439.0,162301.0,164545.0,160646.0,153766.0,158395.0,162286.0,165575.0,166922.0,170178.0,174521.0,175994.0,175020.0,179442.0,180317.0,185342.0,183143.0,186223.0,188736.0,190007.0,195892.0,194669.0,196144.0,198946.0,206317.0,210051.0,202071.0,192634.0,189997.0,194122.0,203313.0,201967.0,199880.0,188893.0,190404.0,194800.0,205887.0,209781.0,211125.0,202376.0
